PBI ID,Parent PBI,Epic,Type,Actor,Title,Description,AcceptanceCriteria,ReqIDs,Priority,Owner,Sprint,Status,Dependencies,StoryPoints,DeploymentRelevance,SourceReferencePath,Notes
PBI-372,PBI-361,Procurement and supplier workflow,Feature,Buyer;SME / Supplier,Complete buyer and supplier order workflow,Add visible order flow before escrow so escrow is not floating,Buyer can create/view order supplier can acknowledge accepted order and buyer can link accepted order to escrow,R05;R06;R17;R18;R22,P0,Backend Engineer;Frontend Engineer,Sprint 7,Planned,PBI-005;PBI-006;PBI-017;PBI-253,13,mandatory,docs/contracts/ESCROW_WORKFLOW_CONTRACT.md;docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Delivery evidence remains placeholder unless pulled forward
PBI-373,PBI-372,Procurement and supplier workflow,Story,Buyer,Buyer order workspace,Create buyer Orders workspace and order detail route,Buyer sees order list order detail and create order action,R05;R06;R17,P0,Frontend Engineer,Sprint 7,Planned,PBI-372,3,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Route label Orders
PBI-374,PBI-372,Procurement and supplier workflow,Task,Buyer;Supplier,Procurement order domain model,Add order states parties references and persistence seam,Order model represents draft submitted accepted linkedEscrow and audited metadata,R05;R06;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-005;PBI-296,3,mandatory,docs/report/srs-v3.tex,Keep domain DB-library independent
PBI-375,PBI-372,Procurement and supplier workflow,Task,Buyer,Order create get list API,Expose order endpoints with standard envelope and trusted actor context,Buyer can create and list orders supplier sees only assigned orders,R05;R06;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-374;PBI-253,3,mandatory,docs/contracts/API_CONTRACTS.md,No client-authored actor source
PBI-376,PBI-372,Procurement and supplier workflow,Story,SME / Supplier,Supplier received orders,Create supplier dashboard route for received orders,Supplier sees assigned order list and cannot view unrelated buyer orders,R05;R17;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-375;PBI-253,3,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Actor route must be supplier-specific
PBI-377,PBI-372,Procurement and supplier workflow,Task,SME / Supplier,Supplier order acknowledgment,Implement supplier accept or acknowledge order action,Accepted order status is recorded and emits lifecycle audit event,R05;R06;R22,P0,Backend Engineer;Frontend Engineer,Sprint 7,Planned,PBI-375;PBI-376;PBI-005,3,mandatory,docs/contracts/TRANSACTION_HISTORY_CONTRACT.md,Required before real escrow linkage
PBI-378,PBI-372,Procurement and supplier workflow,Task,Buyer,Link accepted order to escrow,Require accepted order reference for escrow creation where possible,Escrow creation uses accepted order or explicit demo order reference and duplicate active escrow is rejected,R06;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-006;PBI-377,2,mandatory,docs/contracts/ESCROW_WORKFLOW_CONTRACT.md,Strengthens Phase 7 first slice
PBI-379,PBI-372,Procurement and supplier workflow,Task,SME / Supplier,Delivery evidence placeholder,Add delivery milestone/proof-hash placeholder for supplier,Supplier can record delivery evidence metadata without hardware or IoT integration,R18;R05;R22,P1,Backend Engineer;Frontend Engineer,Sprint 7,Planned,PBI-377;PBI-245,3,should-have,backlog/backlog.csv,Full IoT QR signature remains post-MVP
PBI-380,PBI-372,Procurement and supplier workflow,Task,Buyer,Buyer delivery review page,Show delivery status and proof metadata to buyer,Buyer sees delivery proof state and failed proof is not treated as verified,R18;R06;R17,P1,Frontend Engineer,Sprint 7,Planned,PBI-379;PBI-246,2,should-have,backlog/backlog.csv,Can be simplified for MVP
PBI-381,PBI-372,Procurement and supplier workflow,QA,Buyer;SME / Supplier,Procurement UAT,Validate buyer supplier order path and escrow linkage,Evidence records order creation supplier acknowledgement and escrow linkage,R05;R06;R17;R22,P0,QA Lead,Sprint 7,Planned,PBI-373;PBI-374;PBI-375;PBI-376;PBI-377;PBI-378,2,mandatory,docs/evidence/qa,Actor-flow closure evidence
PBI-382,PBI-372,Procurement and supplier workflow,Docs,Buyer;SME / Supplier,Procurement runbook update,Document buyer supplier order and escrow demo path,Runbook explains order to escrow flow with expected screenshots or observations,R05;R06;R17,P0,Technical Writer,Sprint 7,Planned,PBI-381,1,mandatory,docs/runbooks/local-demo.md,Supervisor demo dependency
PBI-383,PBI-361,Compliance workflow,Feature,Compliance Reviewer,Complete compliance KYC AML workflow UI,Make onboarding review and eligibility visible to compliance users,Compliance reviewer can review cases record decisions and downstream eligibility is visible,R02;R17;R22,P0,Compliance Lead,Sprint 7,Planned,PBI-002;PBI-150;PBI-253,8,mandatory,docs/contracts/ONBOARDING_ELIGIBILITY_CONTRACT.md,Backend completed but UI is missing
PBI-384,PBI-383,Compliance workflow,Task,Compliance Reviewer,Add compliance demo role,Add complianceReviewer login route and dashboard resolver,Compliance demo account reaches Compliance dashboard with KYC Review navigation,R02;R17,P0,Frontend Engineer,Sprint 7,Completed,PBI-253;PBI-263,1,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Use product label Compliance
PBI-385,PBI-383,Compliance workflow,Story,Compliance Reviewer,Compliance dashboard,Create case queue dashboard for KYC AML cases,Reviewer sees pending flagged blocked approved cases and safe summary counts,R02;R17;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-384;PBI-002,3,mandatory,backlog/backlog.csv,No raw KYC documents on dashboard
PBI-386,PBI-383,Compliance workflow,Story,Compliance Reviewer,KYC case detail,Implement case detail with safe evidence metadata and status history,Reviewer sees case details reason codes and history without raw document leakage,R02;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-385;PBI-142,3,mandatory,docs/contracts/ONBOARDING_ELIGIBILITY_CONTRACT.md,Privacy safe response required
PBI-387,PBI-383,Compliance workflow,Task,Compliance Reviewer,Decision action controls,Add approve reject flag block request revision controls,Decision actions update status and produce audit evidence,R02;R22,P0,Backend Engineer;Frontend Engineer,Sprint 7,Planned,PBI-141;PBI-386,3,mandatory,backlog/backlog.csv,Uses existing decision model where available
PBI-388,PBI-383,Compliance workflow,Task,System,Eligibility UI API integration,Surface eligibility states to downstream workflows,eligible pendingReview blocked flagged unknown states display consistently,R02;R06;R17,P0,Backend Engineer;Frontend Engineer,Sprint 7,Planned,PBI-150;PBI-387,2,mandatory,docs/contracts/ONBOARDING_ELIGIBILITY_CONTRACT.md,Do not expose raw KYC data
PBI-389,PBI-383,Compliance workflow,Task,Security;Compliance Reviewer,KYC redaction policy,Ensure KYC data shown in UI is safe for role,Raw AML KYC documents are never shown in dashboard cards and restricted fields are redacted,R02;R10;R22,P0,Security Engineer,Sprint 7,Planned,PBI-386;PBI-388,2,mandatory,docs/contracts/ONBOARDING_ELIGIBILITY_CONTRACT.md,Minimum privacy hardening
PBI-390,PBI-383,Compliance workflow,QA,Compliance Reviewer,Compliance UAT and evidence,Validate compliance review decisions and eligibility behavior,Evidence records approve flag block pending unknown and forbidden access cases,R02;R22,P0,QA Lead,Sprint 7,Planned,PBI-384;PBI-385;PBI-386;PBI-387;PBI-388;PBI-389,1,mandatory,docs/evidence/qa,Actor-flow closure evidence
PBI-391,PBI-383,Compliance workflow,Docs,Compliance Reviewer,Compliance runbook,Document case review and eligibility demo path,Runbook gives step-by-step compliance reviewer flow,R02,P1,Technical Writer,Sprint 7,Planned,PBI-390,1,should-have,docs/runbooks/local-demo.md,Useful for supervisor demo
PBI-392,PBI-383,Compliance workflow,Task,System,Block non-eligible organizations from transaction actions,Use eligibility seam in order escrow and PLS entry gates,Pending blocked notEligible organizations cannot create order escrow or activate PLS,R02;R06;R07;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-388;PBI-006;PBI-007,3,mandatory,docs/contracts/ONBOARDING_ELIGIBILITY_CONTRACT.md,Critical deployment control
PBI-393,PBI-361,Shariah and PLS workflow,Feature,Shariah Reviewer;Bank / Financier,Complete visible Shariah and PLS workflow,Add Shariah dashboard PLS contract activation and distribution visibility,PLS contract cannot activate without Shariah approval and distribution is traceable,R07;R17;R20;R22;R26,P0,Islamic Finance Analyst,Sprint 7,Planned,PBI-007;PBI-020;PBI-253,13,mandatory,docs/proposals/business_proposal_digital_procurement_pls_seedbed.tex,Restricted mudarabah seedbed only
PBI-394,PBI-393,Shariah and PLS workflow,Task,Shariah Reviewer;Bank / Financier,Add Shariah and financier demo roles,Add demo accounts and resolver support for Shariah and financier roles,Both roles login to correct dashboards with role-specific navigation,R07;R17;R20,P0,Frontend Engineer,Sprint 7,Completed,PBI-253;PBI-263,1,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,No role dropdown authorization
PBI-395,PBI-393,Shariah and PLS workflow,Story,Shariah Reviewer,Shariah review dashboard,Create dashboard for PLS review queue and status,Reviewer sees submitted checklistComplete approved rejected conditionalApproved states,R20;R17,P0,Frontend Engineer,Sprint 7,Planned,PBI-020;PBI-394,3,mandatory,docs/architecture/STATE_MODELS.md,Consumes existing Shariah backend
PBI-396,PBI-393,Shariah and PLS workflow,Story,Shariah Reviewer,PLS review detail,Show PLS review detail with checklist and contract parameters,Reviewer sees profit ratio loss allocation parties checklist and decision state,R07;R20;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-395;PBI-020,3,mandatory,docs/report/srs-v3.tex,UI must not claim unrestricted Islamic finance compliance
PBI-397,PBI-393,Shariah and PLS workflow,Task,Shariah Reviewer,Shariah decision UI,Implement approve reject conditional approve actions,Decision updates review state and emits audit evidence,R20;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-396;PBI-020,2,mandatory,docs/architecture/STATE_MODELS.md,Uses existing decision semantics
PBI-398,PBI-393,Shariah and PLS workflow,Task,Bank / Financier,PLS contract domain model,Implement or expose PLS contract parties ratio loss allocation and status,Contract stores parties profit ratio loss allocation approval reference and audit metadata,R07;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-007;PBI-020,3,mandatory,docs/proposals/business_proposal_digital_procurement_pls_seedbed.tex,Restricted single-venture mudarabah baseline
PBI-399,PBI-393,Shariah and PLS workflow,Task,System,PLS activation gate,Block PLS activation until approved Shariah review exists,Activation succeeds only with approved reference and fails with clear missing approval state,R07;R20;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-397;PBI-398,3,mandatory,backlog/backlog.csv,High compliance risk control
PBI-400,PBI-393,Shariah and PLS workflow,Story,Bank / Financier,Financier dashboard,Create financier dashboard for PLS contracts and financing requests,Financier sees active pending and blocked PLS contracts and linked procurement references,R07;R17,P0,Frontend Engineer,Sprint 7,Planned,PBI-394;PBI-398,3,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Use label Financing
PBI-401,PBI-393,Shariah and PLS workflow,Story,Bank / Financier,PLS contract detail,Show contract state parties ratios approval and audit link,Financier can inspect contract status Shariah approval reference and distribution history link,R07;R20;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-400;PBI-398,3,mandatory,docs/report/srs-v3.tex,No guarantee principal/profit wording
PBI-402,PBI-393,Shariah and PLS workflow,Task,Bank / Financier,Distribution record model,Add distribution event model for profit and loss allocation,Distribution record stores event type calculation basis allocations and audit reference,R07;R26;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-398;PBI-399,3,mandatory,backlog/backlog.csv,Simulation only no payment execution
PBI-403,PBI-393,Shariah and PLS workflow,Story,Bank / Financier,Distribution detail page,Show distribution allocations proof reference and audit link,Financier sees allocation outcome and no external payment execution is implied,R07;R17;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-402;PBI-401,2,mandatory,docs/proposals/business_proposal_digital_procurement_pls_seedbed.tex,Domain copy must be Shariah-safe
PBI-404,PBI-393,Shariah and PLS workflow,QA,QA;Islamic Finance Analyst,PLS scenario tests,Add reproducible profit and loss scenario validation,Sample profit and loss distributions produce expected allocations and failures are recorded,R07;R26,P0,QA Lead,Sprint 7,Planned,PBI-398;PBI-402,3,mandatory,backlog/backlog.csv,Required if PLS is claimed in demo
PBI-405,PBI-393,Shariah and PLS workflow,Docs,Shariah Reviewer;Bank / Financier,PLS and Shariah runbook,Document Shariah approval and financier PLS demo,Runbook explains PLS scope limits approval gate distribution scenario and known limitations,R07;R20;R26,P0,Technical Writer,Sprint 7,Planned,PBI-404,1,mandatory,docs/runbooks/local-demo.md,Supervisor-facing scope protection
PBI-406,PBI-361,Regulator export workflow,Feature,Regulator;Auditor,Complete signed audit export workflow,Add export request bundle generation verification and regulator UI,Authorized regulator can request bundle view status and verify integrity metadata,R15;R17;R22,P0,Compliance Lead,Sprint 7,Planned,PBI-015;PBI-005;PBI-022;PBI-323,8,mandatory,backlog/backlog.csv,External regulator portal out of scope
PBI-407,PBI-406,Regulator export workflow,Task,Regulator,Add regulator reporting demo role,Add regulator role to login resolver and navigation,Regulator demo login reaches Export Bundle dashboard and cannot access admin actions,R15;R17,P0,Frontend Engineer,Sprint 7,Completed,PBI-253;PBI-263,1,mandatory,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Use label Export Bundle
PBI-408,PBI-406,Regulator export workflow,Story,Regulator,Export request page,Create export request UI with scope and date range,Regulator can request export by scope and invalid scope is rejected,R15;R17;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-407;PBI-015,2,mandatory,backlog/backlog.csv,No external portal integration
PBI-409,PBI-406,Regulator export workflow,Task,Regulator;Auditor,Export bundle generation service,Implement backend bundle manifest and integrity metadata,Bundle generation stores manifest bundle hash record references and status,R15;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-005;PBI-022;PBI-408,3,mandatory,docs/contracts/TRANSACTION_HISTORY_CONTRACT.md,Signing may be MVP equivalent proof
PBI-410,PBI-406,Regulator export workflow,Task,Regulator;Auditor,Bundle verification endpoint,Expose endpoint to verify export bundle integrity,Verification returns verified mismatch notFound or unavailable without false success,R15;R22,P0,Backend Engineer,Sprint 7,Planned,PBI-409;PBI-323,2,mandatory,docs/contracts/BLOCKCHAIN_ANCHOR_CONTRACT.md,Align proof states with existing contract
PBI-411,PBI-406,Regulator export workflow,Story,Regulator,Signed bundle detail page,Show export status bundle hash signature metadata and proof links,Regulator sees bundle contents summary integrity metadata and verification result,R15;R17;R22,P0,Frontend Engineer,Sprint 7,Planned,PBI-410;PBI-408,3,mandatory,docs/architecture/BLOCKCHAIN_PROOF_UI_CONTRACT.md,No raw restricted data unless authorized
PBI-412,PBI-406,Regulator export workflow,QA,Regulator;Auditor,Export UAT and evidence,Validate export request bundle generation and verification,Evidence records success invalid scope unavailable and unauthorized access,R15;R22,P0,QA Lead,Sprint 7,Planned,PBI-407;PBI-408;PBI-409;PBI-410;PBI-411,1,mandatory,docs/evidence/qa,Deployment blocker
PBI-413,PBI-361,Security operator workflow,Feature,Security Operator,Add security operator workflow,Provide limited security dashboard with access alerts and proof anomalies,Security operator can view alerts and limited proof investigation without admin rights,R22;R25;R28;R17,P1,Security Engineer,Sprint 7,Planned,PBI-022;PBI-323;PBI-017,5,should-have,docs/architecture/FRONTEND_PRODUCT_JOURNEY.md,Can remain limited honest workflow
PBI-414,PBI-413,Security operator workflow,Task,Security Operator,Add security operator demo role,Add security operator login route and navigation,Security operator reaches Security Status dashboard and cannot access broad admin functions,R22;R17,P1,Frontend Engineer,Sprint 7,Completed,PBI-253;PBI-263,1,should-have,docs/contracts/AUTH_SESSION_CONTRACT.md,Role visibility matters
PBI-415,PBI-413,Security operator workflow,Story,Security Operator,Access alerts page,Show denied actions proof failures and security-relevant events,Security operator sees recent denied actions and proof failures with safe details,R22;R25;R17,P1,Frontend Engineer,Sprint 7,Planned,PBI-414;PBI-022,3,should-have,docs/contracts/ACCESS_HISTORY_QUERY_CONTRACT.md,No full SIEM
PBI-416,PBI-413,Security operator workflow,Task,Security Operator,Security alert read model,Create read model for access alerts and proof failures,Query returns recent denied access and blockchain proof failures with timestamps,R22;R25,P1,Backend Engineer,Sprint 7,Planned,PBI-022;PBI-323,3,should-have,docs/contracts/ACCESS_AUDIT_EVENT_INSPECTION_CONTRACT.md,Useful but not core if time constrained
PBI-417,PBI-413,Security operator workflow,QA,Security Operator,Security UAT and evidence,Validate limited security workflow and authorization,Evidence proves security operator sees alerts but cannot perform unauthorized actions,R22;R25,P1,QA Lead,Sprint 7,Planned,PBI-414;PBI-415;PBI-416,1,should-have,docs/evidence/qa,Should-have closure
PBI-418,PBI-361,Developer and operator readiness,Feature,Developer / Integrator;Platform Operator,Complete developer and operator readiness,Add API quickstart runtime Postgres option Fabric smoke and deployment docs,Developer can run demo APIs and operator can start validate and troubleshoot environment,R11;R12;R23;R25;R26,P1,DevOps Engineer,Sprint 7,Planned,PBI-296;PBI-309;PBI-323,5,should-have,docs/README.md;docs/runbooks/local-demo.md,Supports deployment confidence
PBI-419,PBI-418,Developer and operator readiness,Docs,Developer / Integrator,API quickstart,Document auth escrow proof and export API examples,Quickstart includes login bearer token order escrow proof and export examples,R11;R22,P1,Technical Writer,Sprint 7,Planned,PBI-253;PBI-006;PBI-323;PBI-406,2,should-have,docs/contracts/API_CONTRACTS.md,No raw secrets in docs
PBI-420,PBI-418,Developer and operator readiness,DevOps,Platform Operator,Runtime PostgreSQL composition switch,Allow backend demo runtime to use Postgres repositories when configured,With env flag backend persists demo auth membership audit anchor and escrow data to Postgres,R02;R03;R05;R06;R22,P0,Backend Engineer;DevOps Engineer,Sprint 7,Planned,PBI-296,5,mandatory,docs/architecture/POSTGRES_PERSISTENCE_DECISION.md,Current baseline has adapters but default runtime is in-memory
PBI-421,PBI-418,Developer and operator readiness,DevOps,Network / Platform Operator,Fabric live test-network smoke script,Add documented smoke path for live AuditAnchor deployment,Operator can run build test deploy and verify sample anchor on local Fabric test-network,R05;R22;R25,P1,Blockchain Engineer,Sprint 7,Planned,PBI-309;PBI-323,3,stretch,docs/architecture/FABRIC_MVP_BOUNDARY.md,Live Fabric prerequisites remain explicit
PBI-422,PBI-418,Developer and operator readiness,Docs,Platform Operator,Deployment environment guide,Document ports env vars migrations seed Fabric and troubleshooting,Guide covers backend 3100 frontend 5173 DB migrate seed Fabric optional and rollback,R25;R26,P0,DevOps Engineer,Sprint 7,Planned,PBI-420;PBI-421,2,mandatory,docs/runbooks/local-demo.md,Deployment readiness document
PBI-423,PBI-361,Release hardening,Feature,All,Final UAT and supervisor demo readiness,Close release with actor UAT evidence and demo script,All mandatory actor paths pass UAT and supervisor script is ready,All mandatory,P0,QA Lead;Scrum Master,Sprint 7,Planned,PBI-361;PBI-371;PBI-381;PBI-390;PBI-405;PBI-412;PBI-422,8,mandatory,docs/evidence/qa;docs/runbooks/local-demo.md,Final release gate
PBI-424,PBI-423,Release hardening,QA,All,Actor UAT scripts,Create UAT script per mandatory actor,Each script lists login route actions expected results data dependencies and evidence capture,R17;R22,P0,QA Lead,Sprint 7,Active,PBI-361,3,mandatory,docs/evidence/qa,Actor-flow-level DoD
PBI-425,PBI-423,Release hardening,QA,All,Authorization regression matrix,Validate role cannot access unauthorized routes and actions,Matrix covers admin buyer supplier compliance Shariah financier auditor regulator security roles,R03;R17;R22,P0,Security Engineer;QA Lead,Sprint 7,Active,PBI-424;PBI-253,3,mandatory,docs/contracts/AUTH_SESSION_CONTRACT.md,Deployment blocker
PBI-426,PBI-423,Release hardening,QA,All,Build test release evidence,Run and record final validation commands,Build frontend build tests DB dry-runs chaincode tests and diff check are recorded,R25;R26,P0,QA Lead,Sprint 7,Planned,PBI-420;PBI-421;PBI-424,2,mandatory,docs/evidence/qa,Feasible commands only
PBI-427,PBI-423,Release hardening,Docs,Supervisor,Final supervisor demo script,Create final 15 to 20 minute supervisor walkthrough,Script demonstrates admin compliance buyer supplier escrow blockchain proof Shariah financier regulator and evidence,R02;R03;R05;R06;R07;R15;R17;R20;R22,P0,Scrum Master,Sprint 7,Planned,PBI-424;PBI-426,1,mandatory,docs/runbooks/local-demo.md,Supervisor-ready output
PBI-428,PBI-423,Release hardening,Docs,Product Owner,Known limitations and post-MVP roadmap,Document MVP boundaries risks and deferred items,Known limitations separate mandatory delivered scope from should-have stretch and post-MVP items,C01;C02;C03;C04;C05;C06;C07,P0,Product Owner,Sprint 7,Planned,PBI-427,1,mandatory,docs/report/srs-v3.tex;docs/proposals/business_proposal_digital_procurement_pls_seedbed.tex,Protects against overclaiming production readiness
