PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-446,Task,Document signature verification,"Verify digital signatures on uploaded contracts, delivery proofs, and export bundles and record certificate chain metadata.","Given a signed PDF or detached signature is submitted, when verification runs, then signature status and certificate metadata are recorded.",R15;R18;R22,Security;Documents;Compliance;Audit,8,P1,Security Engineer,Sprint 9,Planned,PBI-445;PBI-448,Deployment relevance: production-extension. No formal trust store until policy approved.
PBI-447,Feature,Formal Shariah certification artifacts,"Add Shariah certificate records for PLS templates, version scope, conditions, expiry, revocation, and certificate hash.","Given a certificate covers a PLS template, when activation is requested, then the platform verifies certificate scope and status before activation.",R07;R20;R22,Shariah;Compliance;Audit;Governance,8,P0,Shariah Compliance Lead,Sprint 8,Planned,PBI-393;PBI-405,Deployment relevance: pilot-hardening. Formal external certification remains outside system automation.
PBI-448,Feature,Export signing and key management,"Add signed export manifests, key profiles, rotation policy, detached signatures, and offline verification package.","Given an export bundle is generated, when signing is enabled, then detached signature and verification instructions are included.",R15;R22;R24,Security;Audit;Compliance;KeyManagement,13,P0,Security Engineer,Sprint 8,Planned,PBI-406;PBI-412,Deployment relevance: pilot-hardening. Production KMS/HSM decision required.
PBI-449,Feature,ERP and accounting adapter framework,"Add adapter framework for importing/exporting orders, invoices, receipts, payments, and journal events using UBL/OCDS mappings.","Given an adapter profile is configured, when sync runs, then inbound/outbound records are mapped with idempotency and error reporting.",R11;R14;R23,Interoperability;ERP;Reliability;Audit,13,P1,Integration Engineer,Sprint 9,Planned,PBI-451;PBI-440,"Deployment relevance: production-extension. Source: UBL, OCDS, Peppol."
PBI-450,Feature,Contract negotiation workspace,"Add negotiation threads, redlines, approval routing, offer/acceptance records, and linked machine-readable terms.","Given buyer and supplier negotiate terms, when an agreement is reached, then final terms are versioned and linked to order/escrow.",R06;R14;R22,Usability;Contracts;Audit;Compliance,13,P0,Product Engineer,Sprint 8,Planned,PBI-451,Deployment relevance: pilot-hardening. Communication records must be auditable.
PBI-451,Feature,Machine-readable contract model,"Add a semantic contract model for parties, clauses, obligations, release conditions, PLS terms, attachments, and hashes.","Given a contract is created, when saved, then clause IDs, human text, machine-readable fields, version, and hash are stored.",R06;R07;R14;R15;R20;R22,Contracts;Interoperability;Audit;Compliance,13,P0,Solution Architect,Sprint 8,Planned,PBI-436,Deployment relevance: pilot-hardening. Maps to UBL/OCDS where appropriate.
PBI-452,Feature,Blockchain status visualization,"Add operator and actor-facing blockchain status visualizations across order, delivery, escrow, export, PLS, and Fabric network health.","Given proof records exist, when user opens status surface, then visual indicators show anchored, pending, failed, mismatch, unavailable, and verified states.",R05;R15;R22;R25,Usability;Blockchain;Observability;Audit,8,P0,Frontend Engineer,Sprint 8,Planned,PBI-333;PBI-421,"Deployment relevance: pilot-hardening. No fabricated chain data. Status review 2026-05-26: visual proof/status indicator foundation added, but full Fabric network health and PLS-wide coverage remain open."
PBI-453,Feature,Responsive panel shell and icon-only navigation,"Implement resizable panels, icon-only collapse, compact cards, and persisted panel preferences.","Given the viewport or panel is reduced, when UI reflows, then panels remain usable with icons, truncation, and overflow-safe content.",R17,Usability;Accessibility;ResponsiveUI,8,P0,Frontend Engineer,Sprint 8,Completed,PBI-017,"Deployment relevance: pilot-hardening. Inspired by Docker-style compact navigation. Completed 2026-05-26: responsive shell includes resizable navigation panel, persisted width, and icon-only collapse."
PBI-454,Task,Theme and design tokens,"Implement dark/white/yellow design tokens and indicator colors for verified, pending, failed, warning, and info states.","Given theme tokens are applied, when surfaces render, then colors are consistent and indicators are visual, not word-only.",R17,Usability;Accessibility;Maintainability,5,P1,Frontend Engineer,Sprint 8,Completed,PBI-453,Deployment relevance: productization. Completed 2026-05-26: centralized theme tokens and status indicator colors added.
PBI-455,Task,CSS modularization and overflow hardening,"Separate CSS into tokens, layout, components, and page files; fix text overflow and resizing behavior.","Given a component is resized, when IDs/hashes/status cards are displayed, then text wraps or truncates without escaping containers.",R17,Maintainability;Usability;Accessibility,5,P0,Frontend Engineer,Sprint 8,Completed,PBI-453;PBI-454,Deployment relevance: productization. Inline styles only for dynamic CSS variables. Completed 2026-05-26: CSS aggregator/modules added and long hash/ID overflow hardening applied.
PBI-456,Task,Database-seeded real demo accounts,Move demo accounts and case data into database seed records and remove dependence on local-only in-browser identity data where backend mode is active.,"Given db:seed runs, when app starts in backend mode, then demo actors authenticate through seeded credentials and records.",R02;R03;R17;R22,Security;DemoData;Maintainability,8,P0,Backend Engineer,Sprint 8,Completed,PBI-420,"Deployment relevance: pilot-hardening. Real demo accounts, not demonstrative frontend-only accounts. Completed 2026-05-26: db seed verified for nine backend demo accounts using demo-password."
PBI-457,Task,Remove demonstrative local fallbacks,Identify and remove or gate demonstrative local-only features where seeded backend data and APIs now exist.,"Given backend mode is active, when UI calls a workflow, then it uses backend APIs and does not silently use local fabricated data.",R17;R22;R25,Maintainability;Reliability;Security,8,P0,Frontend Engineer,Sprint 8,Completed,PBI-456,Deployment relevance: pilot-hardening. Local demo fallback allowed only when explicitly configured. Completed 2026-05-26: frontend local fallbacks gated by explicit VITE_ENABLE_LOCAL_DEMO_FALLBACK flag; guided mode gated separately.
PBI-458,Feature,External API gateway for integrations,"Add authenticated external API gateway for IoT devices, ERP applications, payment callbacks, and evidence verifiers.","Given an external client calls an API, when credentials and signature pass, then request is processed with scoped permissions and audit logging.",R04;R11;R18;R23;R25,Security;Interoperability;Operability;Audit,13,P0,Integration Engineer,Sprint 8,Completed,PBI-443;PBI-449,Deployment relevance: pilot-hardening. Requires rate limiting and idempotency. Completed 2026-05-26: signed external proof verification route plus scoped client credentials plus idempotency plus external audit repository plus contract added; evidence: docs/evidence/qa/PBI-458_EXTERNAL_API_GATEWAY_VALIDATION.md.
PBI-459,Feature,Containerized deployable model,"Add backend and frontend Dockerfiles and full Docker Compose app stack with postgres, backend, frontend, and optional integration profiles.","Given a clean operator runs docker compose up --build, when env is configured, then frontend, backend, and postgres start with health checks.",R25;R26,DevOps;Operability;Reliability,8,P0,DevOps Engineer,Sprint 8,Completed,PBI-420,Deployment relevance: deployable internal pilot. Completed 2026-05-26: deployable Dockerfiles plus app compose plus health/readiness checks plus runbook plus smoke script added; live image build blocked by Docker Hub connectivity in this environment; evidence: docs/evidence/qa/PBI-459_CONTAINERIZED_DEPLOYABLE_MODEL_VALIDATION.md.
PBI-460,Feature,Observability and incident hooks,"Add health/readiness, structured logs, metrics, alerts, and operator incident hooks.","Given a service degrades, when health checks or thresholds fail, then an alert is recorded and visible to operators.",R25;R28,Operability;Reliability;Security,8,P1,DevOps Engineer,Sprint 9,Completed,PBI-416;PBI-459,Deployment relevance: pilot-hardening. Completed 2026-05-26: protected ops status route plus readiness-derived incidents plus security alert integration plus structured logging runbook added; evidence: docs/evidence/qa/PBI-460_OBSERVABILITY_INCIDENT_HOOKS_VALIDATION.md.
PBI-461,Docs,Backup restore rollback runbook,"Add backup, restore, rollback, reset, and disaster recovery runbook for database, documents, and Fabric proof data.","Given operator follows runbook, when backup/restore commands run, then data can be recovered or reset safely.",R19;R25;R26,Operability;Retention;Reliability;Documentation,5,P1,DevOps Engineer,Sprint 8,Completed,PBI-459,Deployment relevance: deployable internal pilot. Completed 2026-05-26: backup restore rollback runbook plus dry-run-safe PostgreSQL backup restore and local rollback scripts added; evidence: docs/evidence/qa/PBI-461_BACKUP_RESTORE_ROLLBACK_VALIDATION.md.
PBI-462,Spike,Procurement and public contract standards mapping research,"Research public procurement activity, OCDS, UBL, Peppol, and formal contract structures and map them to platform fields.","Given the research spike closes, when architects review it, then machine-readable contract and ERP/export mappings have justified field sets and references.",R14;R23;R15,Research;Interoperability;Contracts,3,P1,Product Analyst,Sprint 8,Planned,PBI-451;PBI-449,Deployment relevance: product-market hardening.
