PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-011,Feature,ISO20022-compatible payment API gateway,"Context: external payment integration requires a standardized messaging interface. Business problem: ad hoc payment mapping increases integration friction and reconciliation defects. User value: banks and integrators can exchange payment requests using a known structure. Scope: payment message mapping, API submission, validation, response handling. Out of scope: production-grade bank certification.","[ReqID: R11] Given a payment request is created from a platform transaction, when the API payload is generated, then the required ISO20022-compatible fields are populated according to the mapping rules. | [ReqID: R11] Given a payload missing a required mapped field is submitted, when validation runs, then the request is rejected with a validation error.",R11,Interoperability;Performance;Security;Reliability,5,P1,Integration Engineer,,Deferred,PBI-005,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP due integration cost C04.
PBI-012,Feature,Asynchronous reconciliation event processing,"Context: transaction reconciliation may need asynchronous processing. Business problem: synchronous-only reconciliation increases latency and operational fragility. User value: operators can process and retry reconciliation events reliably. Scope: event publishing, retry handling, completion status, operational visibility. Out of scope: enterprise message bus migration.","[ReqID: R12] Given a reconciliation-triggering event is published, when the event consumer processes it successfully, then the reconciliation status is updated within the defined workflow. | [ReqID: R12] Given event processing fails, when retry policy is applied, then the event is retried and the failure history is recorded.",R12,Performance;Reliability;Operability;Maintainability,5,P2,Backend Engineer,,Deferred,PBI-005,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-013,Feature,Configurable transaction throughput baseline,"Context: the platform needs a measurable throughput target to guide delivery and testing. Business problem: without a defined baseline the team cannot validate performance expectations. User value: operators and stakeholders can assess whether the platform meets agreed throughput goals. Scope: configurable throughput target, load test scenario, latency measurement, pass fail criteria. Out of scope: horizontal scale architecture redesign.","[ReqID: R13] Given a configured throughput target exists, when load tests are executed, then the platform reports whether sustained throughput and latency remain within the target thresholds. | [ReqID: R13] Given measured results fall below the accepted baseline, when test execution completes, then a performance failure result is recorded with supporting metrics.",R13,Performance;Scalability;Reliability,3,P2,QA Lead,,Deferred,PBI-025,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-014,Feature,Machine-readable procurement metadata publishing,"Context: digital procurement transparency requires structured metadata. Business problem: unstructured tender information is harder to reuse, validate, and audit. User value: procurement officers and regulators can publish and consume tender metadata consistently. Scope: metadata capture, validation, machine-readable export. Out of scope: public procurement portal redesign.","[ReqID: R14] Given a tender record is created, when required metadata fields are completed, then the platform stores the tender with the supported machine-readable structure. | [ReqID: R14] Given a valid tender record exists, when metadata export is requested, then the platform returns the required machine-readable metadata fields.",R14,Compliance;Interoperability;Usability,3,P2,Procurement Analyst,,Deferred,None,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-015,Feature,Regulator audit reporting and signed export bundle,"Context: regulators and auditors need a consumable audit package from platform records. Business problem: raw event data alone is difficult to review and transmit. User value: regulators can request and receive signed audit exports within an agreed turnaround. Scope: audit bundle generation, signing, export request handling, delivery status tracking. Out of scope: regulator portal integration.","[ReqID: R15] Given an authorized regulator export request is submitted, when the export job completes, then the platform generates a signed audit bundle containing the requested records. | [ReqID: R15] Given an export bundle has been generated, when the requester downloads it, then the bundle includes integrity metadata sufficient to verify authenticity.",R15,Audit;Compliance;Performance;Security,5,P1,Compliance Lead,MVP,Planned,PBI-005;PBI-022,"DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. MVP scope excludes external regulator integration. Status review note 2026-05-26: export bundle MVP evidence exists under PBI-406, but production signing/download scope remains for backlog grooming. Scope grooming 2026-05-26: regulator export MVP evidence is completed under PBI-406 to PBI-412; this parent remains Planned until production signing/download/integrity scope is explicitly closed or narrowed."
PBI-016,Feature,Upgradeable contract versioning workflow,"Context: contract logic and templates will evolve over time. Business problem: unmanaged upgrades create compatibility and audit risk. User value: developers and reviewers can upgrade contract versions with traceability. Scope: version tagging, upgrade path, migration support, audit history. Out of scope: automated multi-network migration.","[ReqID: R16] Given a new contract version is prepared, when the upgrade process is executed, then the platform records the prior version, new version, and upgrade metadata. | [ReqID: R16] Given an upgrade affects existing records, when migration validation is run, then the platform reports whether affected records remain accessible or are migrated successfully.",R16,Maintainability;Audit;Reliability;Compliance,5,P2,Platform Engineer,,Deferred,PBI-006;PBI-007,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-017,Feature,Role-based UI and operational dashboards,"Context: different actors require different workflows and visibility. Business problem: a one-size-fits-all interface increases error rate and reduces productivity. User value: each role can view relevant data and actions only. Scope: role-based navigation, dashboard widgets, role action permissions, tailored views. Out of scope: advanced analytics personalization.","[ReqID: R17] Given a user logs in with a defined platform role, when the dashboard loads, then the user sees the role-specific widgets and actions assigned to that role. | [ReqID: R17] Given a user attempts to access an action outside the assigned role, when authorization is evaluated, then the action is hidden or blocked.",R17,Usability;Security;Accessibility;Audit,5,P1,Frontend Engineer,MVP,Completed,PBI-003;PBI-022,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. MVP should focus on essential role views only.
PBI-018,Feature,Delivery evidence with signed IoT or QR proof,"Context: proof of delivery supports settlement and dispute reduction. Business problem: delivery confirmation without verifiable evidence is weaker for financing and audit. User value: buyers and logistics parties can verify delivery evidence linked to transactions. Scope: signed proof capture, linkage to delivery event, verification result display. Out of scope: hardware device management.","[ReqID: R18] Given a delivery event has a signed IoT or QR proof, when the proof is submitted, then the platform verifies the signature and links the proof to the delivery record. | [ReqID: R18] Given a linked proof exists, when a buyer reviews the delivery record, then the proof status and verification result are visible.",R18,Integrity;Interoperability;Reliability;Audit,5,P2,Integration Engineer,,Deferred,PBI-004;PBI-005,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP. Scope grooming 2026-05-26: remains Deferred because real signed IoT/QR delivery proof is not implemented; supervisor demo uses metadata-only delivery evidence under PBI-379 and PBI-380.
PBI-019,Feature,Data retention and legal-hold controls,"Context: transaction and compliance records must follow retention rules. Business problem: uncontrolled deletion or expiry can violate legal obligations. User value: auditors and legal users can enforce retention and legal-hold states. Scope: retention policy application, hold flagging, deletion prevention during hold. Out of scope: cross-jurisdiction rules engine.","[ReqID: R19] Given a record reaches a retention checkpoint, when the retention policy is evaluated, then the platform applies the configured retention state to the record. | [ReqID: R19] Given a legal hold is active on a record, when deletion or purge is attempted, then the action is blocked and logged.",R19,Compliance;Security;Retention;Audit,3,P1,Compliance Lead,,Deferred,PBI-022,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-020,Feature,Shariah governance workflow for PLS approvals,"Context: PLS products require governance review before use. Business problem: without a formal approval workflow, compliant activation cannot be demonstrated. User value: Shariah reviewers and banks can track review outcomes before product activation. Scope: checklist workflow, review decision, approval history, activation gate. Out of scope: external board portal.","[ReqID: R20] Given a new PLS product or contract type is submitted for review, when the checklist is completed and approved, then the platform records the approval result and allows activation. | [ReqID: R20] Given required governance approval is missing, when activation is attempted, then the platform blocks activation and shows the missing approval state.",R20,Compliance;Audit;Security;Governance,5,P0,Shariah Compliance Lead,MVP,Completed,None,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. Regulated area; MVP requires explicit audit history.
PBI-021,Feature,Dispute resolution and arbitration record workflow,"Context: procurement and financing flows may require formal dispute handling. Business problem: inconsistent dispute tracking weakens governance and evidence management. User value: parties can record disputes, evidence, and final status in one lifecycle. Scope: dispute creation, evidence attachment metadata, status updates, final resolution record. Out of scope: external arbitration system integration.","[ReqID: R21] Given a transaction dispute is raised, when the case is created, then the platform stores the dispute record with linked transaction context and initial status. | [ReqID: R21] Given a dispute reaches resolution, when the final decision is recorded, then the platform stores the final status and linked evidence history.",R21,Audit;Compliance;Reliability;Security,5,P2,Operations Lead,,Deferred,PBI-005,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-022,Feature,Access logging and cryptographic non-repudiation,"Context: regulated and sensitive workflows require strong auditability of user actions. Business problem: incomplete access logging undermines investigations and compliance evidence. User value: auditors and security operators can trace who did what and prove action origin. Scope: access logs, signed action records, query support for investigation. Out of scope: external SIEM integration.","[ReqID: R22] Given a user accesses or changes a protected resource, when the action is processed, then the platform records the action with actor identity, timestamp, and cryptographic or equivalent non-repudiation evidence. | [ReqID: R22] Given an auditor reviews access history, when a search is executed, then the platform returns a traceable sequence of logged actions for the selected user or resource.",R22,Security;Audit;NonRepudiation;Compliance,5,P0,Security Engineer,MVP,Completed,PBI-003,DoR: Ready. PO Approval: Approved for MVP on 2026-03-10. Constraint refs: C01-C07. Foundational MVP control.
PBI-023,Feature,Legacy ERP interoperability adapter,"Context: enterprise buyers and suppliers may need existing ERP systems to exchange procurement data with the platform. Business problem: manual transfer reduces adoption and increases errors. User value: integrators can map PO and invoice flows between systems. Scope: adapter mappings, sample import export, error handling. Out of scope: full production ERP rollout.","[ReqID: R23] Given a sample PO or invoice payload is received from a supported legacy format, when mapping is executed, then the adapter produces the platform-compatible payload. | [ReqID: R23] Given a mapped payload is missing required fields, when validation runs, then the adapter rejects the payload and reports the mapping error.",R23,Interoperability;Reliability;Maintainability,8,P2,Integration Engineer,,Deferred,PBI-005,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP due C04.
PBI-024,Feature,Consent management and privacy controls,"Context: user and organization data sharing requires explicit consent handling. Business problem: exports and sharing without tracked consent create privacy risk. User value: SMEs can grant and revoke consent and see that exports honor the current consent state. Scope: consent grant, consent revoke, consent check on export, audit history. Out of scope: advanced preference center.","[ReqID: R24] Given an SME grants consent for a defined data use, when the consent is saved, then the platform records the consent state with scope and timestamp. | [ReqID: R24] Given consent has been revoked, when an export requiring that consent is requested, then the platform blocks or limits the export according to the current consent state.",R24,Privacy;Compliance;Security;Audit,5,P1,Privacy Officer,,Deferred,PBI-022,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-025,Feature,Monitoring dashboards and incident management hooks,"Context: platform operations require visibility and response readiness. Business problem: poor operational telemetry increases recovery time and hidden failures. User value: operators can monitor health, detect incidents, and follow response triggers. Scope: dashboards, alert conditions, incident hook integration, basic runbook linkage. Out of scope: full NOC implementation.","[ReqID: R25] Given a monitored service experiences a defined failure condition, when the threshold is crossed, then the platform triggers an alert and records the incident event. | [ReqID: R25] Given an operator opens the monitoring dashboard, when the page loads, then current service health and recent alerts are visible.",R25,Operability;Availability;Reliability;Security,3,P1,DevOps Engineer,,Deferred,PBI-022,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP. Scope grooming 2026-05-26: remains Deferred because real monitoring and incident-management hooks are not implemented; security operator demo is read-only metadata scope under PBI-413 to PBI-417.
PBI-026,Feature,Reproducible PLS scenario test harness,"Context: PLS calculations and workflows require repeatable verification. Business problem: without a repeatable harness the team cannot validate business scenarios consistently. User value: QA and developers can rerun known profit and loss scenarios with expected outputs. Scope: scenario definitions, repeatable execution, expected result comparison, test evidence. Out of scope: enterprise-scale performance suite.","[ReqID: R26] Given a defined PLS scenario exists in the harness, when the scenario is executed, then the platform produces the expected profit and loss result for comparison. | [ReqID: R26] Given the scenario output differs from the expected result, when the test run completes, then the harness marks the scenario as failed and stores the evidence.",R26,Testability;Reliability;Audit;Maintainability,5,P1,QA Lead,,Deferred,PBI-007,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-027,Feature,Identity and credential revocation,"Context: issued credentials may later become invalid or withdrawn. Business problem: without revocation support invalid credentials may continue to pass verification. User value: admins can revoke a credential and immediately affect verification outcomes. Scope: revoke action, revocation status lookup, verification check. Out of scope: cross-network revocation federation.","[ReqID: R27] Given an authorized admin revokes a credential, when revocation is confirmed, then the credential status changes to revoked in the verification store. | [ReqID: R27] Given a revoked credential is presented for verification, when the verification check runs, then the platform returns an invalid result and blocks the protected action.",R27,Security;Compliance;Reliability;Audit,3,P1,Identity Engineer,,Deferred,PBI-001;PBI-003,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-028,Feature,Regulatory sandbox mode and audit hooks,"Context: pilot deployments may require a restricted sandbox operating mode. Business problem: without a sandbox mode, regulator-facing pilots may be harder to isolate and audit. User value: teams can run a restricted pilot mode with enhanced logging. Scope: sandbox mode flag, restricted deployment behavior, enhanced audit hooks. Out of scope: production regulator portal.","[ReqID: R28] Given sandbox mode is enabled for an environment, when users operate within that environment, then the platform applies the defined sandbox restrictions and enhanced logging rules. | [ReqID: R28] Given sandbox mode is disabled, when standard operations run, then sandbox-only restrictions are not applied.",R28,Compliance;Audit;Security;Operability,3,P2,Compliance Lead,,Deferred,PBI-022;PBI-025,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-029,Feature,Multi-jurisdiction retention and consent configuration,"Context: different operating jurisdictions may require different retention and consent rules. Business problem: hard-coded policy behavior does not scale across jurisdictions. User value: admins can apply jurisdiction-specific privacy and retention settings. Scope: configurable rules by jurisdiction, policy lookup, testable rule application. Out of scope: legal interpretation engine.","[ReqID: R29] Given a record is associated with a configured jurisdiction, when retention or consent policy is evaluated, then the platform applies the rules defined for that jurisdiction. | [ReqID: R29] Given a jurisdiction configuration is changed, when policy tests are executed, then the platform reflects the new rules in the test results.",R29,Compliance;Configurability;Maintainability;Privacy,5,P2,Compliance Lead,,Deferred,PBI-019;PBI-024,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-030,Feature,Consortium governance policy registry,"Context: multi-party platforms require explicit governance records for policy changes. Business problem: undocumented governance decisions weaken accountability and trust. User value: consortium admins can record bylaws and policy changes with traceable approval outcomes. Scope: policy registry, change proposal, approval record, history view. Out of scope: automated quorum execution across independent organizations.","[ReqID: R30] Given a governance policy change is proposed, when the proposal is submitted, then the platform stores the policy record with proposer, date, and current status. | [ReqID: R30] Given a policy change is approved, when the decision is finalized, then the registry records the approval outcome and preserves the policy history.",R30,Governance;Audit;Security;Compliance,5,P2,Governance Lead,,Deferred,PBI-003;PBI-022,DoR: Ready. PO Approval: Approved for backlog seeding from srs-v3 on 2026-03-10. Constraint refs: C01-C07. Deferred after MVP.
PBI-031,Story,"As an administrator, I want to register a member organization, so that participating organizations can be onboarded into the platform","Context: the platform requires a controlled member registry before roles and access can be managed. Business problem: unmanaged organization onboarding creates governance and security gaps. User role / actor: administrator. Expected behavior: administrator creates a member organization record with essential membership metadata and initial status. Business value: establishes the baseline organization registry for the platform. In scope: organization creation, uniqueness validation, membership status initialization. Out of scope: role assignment and protected-function enforcement.","[ReqID: R03] Given an administrator submits valid organization details, when the organization is created, then the platform stores the member organization with a unique identifier and active status. | [ReqID: R03] Given required organization data is missing or duplicated, when creation is attempted, then the platform blocks the request and shows validation errors.",R03,Security;Compliance;Maintainability,3,P0,Platform Engineer,,Completed,PBI-003,Important: Story-level acceptance should not be marked Accepted/Done until PBI-083 is resolved and duplicate-prevention behavior is verified.
PBI-032,Story,"As an administrator, I want to define and maintain platform roles, so that access can be governed consistently","Context: role-based access requires a stable role catalogue before user assignment. Business problem: inconsistent role definitions weaken access governance. User role / actor: administrator. Expected behavior: administrator can create, update, and manage platform roles used for membership access control. Business value: establishes a reusable role model for secure access management. In scope: role creation, role update, role status management. Out of scope: user-role assignment and runtime access denial.","[ReqID: R03] Given an administrator defines a valid role, when the role is saved, then the platform stores the role for future assignment. | [ReqID: R03] Given a duplicate or invalid role definition is submitted, when save is attempted, then the platform rejects the change and returns a validation error.",R03,Security;Compliance;Maintainability,3,P0,Platform Engineer,,Completed,PBI-003,DoR: Ready. PO Approval: Approved for Sprint 1 decomposition of PBI-003.
PBI-033,Story,"As an administrator, I want to assign platform roles to member users, so that each user can access only the functions required for their responsibilities","Context: once organizations and roles exist, users must be bound to those roles to support controlled access. Business problem: users without structured role assignment cannot be governed consistently. User role / actor: administrator. Expected behavior: administrator assigns, changes, or removes roles for users associated with member organizations. Business value: enables least-privilege access control. In scope: assign role, change role, remove role, membership validation. Out of scope: deactivation enforcement.","[ReqID: R03] Given a user belongs to a valid member organization and a valid role exists, when an administrator assigns the role, then the platform stores the assignment successfully. | [ReqID: R03] Given the user is not associated with a valid member organization or the role is invalid, when assignment is attempted, then the platform blocks the assignment and shows the reason.",R03,Security;Compliance;Maintainability;Audit,5,P0,Platform Engineer,,Completed,PBI-003;PBI-031;PBI-032,DoR: Ready. PO Approval: Approved for Sprint 1 decomposition of PBI-003.
PBI-034,Story,"As the platform, I want to block access for deactivated members, so that removed organizations and users cannot use protected functions","Context: membership and role management are incomplete without enforcement against deactivated members. Business problem: inactive members retaining access creates governance and security risk. User role / actor: system enforcement. Expected behavior: protected actions are denied when a member organization or user is deactivated. Business value: ensures access control reflects membership state. In scope: deactivation state check, denial of protected actions, error feedback. Out of scope: advanced non-repudiation analytics.","[ReqID: R03] Given a member organization or user is deactivated, when a protected action is attempted, then the platform denies access. | [ReqID: R03] Given an active member with a valid role attempts a protected action, when access is evaluated, then the platform allows the action to proceed.",R03,Security;Compliance;Reliability,5,P0,Platform Engineer,,Completed,PBI-003;PBI-031;PBI-033,DoR: Ready. PO Approval: Approved for Sprint 1 decomposition of PBI-003.
PBI-035,Story,"As a compliance coordinator, I want to submit a PLS item for Shariah review, so that governance starts from a formal and traceable request","Context: Shariah governance requires a formal starting point for review. Business problem: ad hoc review initiation makes approval workflow ambiguous and difficult to track. User role / actor: compliance coordinator. Expected behavior: coordinator submits a review request with the mandatory metadata for a PLS item. Business value: creates a controlled and traceable approval intake process. In scope: request creation, mandatory fields, initial workflow state. Out of scope: checklist completion and final decision.","[ReqID: R20] Given the required review-request data is complete, when the coordinator submits the request, then the platform creates a review record with initial Submitted status. | [ReqID: R20] Given mandatory review-request data is incomplete, when submission is attempted, then the platform blocks the request and shows validation errors.",R20,Compliance;Audit;Security,3,P0,Compliance Lead,,Completed,PBI-020,DoR: Ready. PO Approval: Approved for Sprint 1 decomposition of PBI-020.
PBI-036,Story,"As a Shariah reviewer, I want to record the review checklist outcome, so that the basis of the governance decision is documented","Context: governance decisions require structured review evidence before approval can be finalized. Business problem: undocumented checklist completion weakens governance assurance. User role / actor: Shariah reviewer. Expected behavior: reviewer completes and saves the checklist findings for a submitted review item. Business value: makes the approval basis explicit and auditable. In scope: checklist completion, reviewer comments, review completion state. Out of scope: final approve reject conditional-approve transition.","[ReqID: R20] Given a submitted review item exists, when the reviewer completes the checklist with all required entries, then the platform stores the checklist outcome and reviewer comments. | [ReqID: R20] Given mandatory checklist entries are missing, when the reviewer attempts to save completion, then the platform blocks completion and shows validation errors.",R20,Compliance;Audit;Security,3,P0,Shariah Compliance Lead,,Completed,PBI-020;PBI-035,DoR: Ready. PO Approval: Approved for Sprint 1 decomposition of PBI-020.
