PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-329,Task,Do integrate lifecycle event anchoring,"Anchor PBI-005 lifecycle event payload hashes when enabled.","Given lifecycle event is saved, anchor attempt occurs. | Given anchor fails, base event remains valid and anchor status is explicit.",R05;R22,Audit;Integrity;Reliability,3,P0,Backend Engineer,Sprint 6,Planned,PBI-323;PBI-005,Do not corrupt base event on Fabric failure.
PBI-330,Task,Do add proof verification endpoint,"Expose backend proof verification endpoint.","Given eventId and hash are submitted, verification result is returned. | Given event not found, notFound is returned safely.",R05;R22,Audit;Security;Integration,2,P0,Backend Engineer,Sprint 6,Planned,PBI-323,Route under /api/v1/blockchain/anchors.
PBI-331,Task,Do add blockchain gateway regression tests,"Test anchor success, duplicate, unavailable, mismatch.","Given tests run, gateway success and failure paths are covered. | Given Fabric is unavailable, behavior remains safe.",R05;R22,Quality;Reliability;Audit,2,P0,QA Lead,Sprint 6,Planned,PBI-323,Evidence target: PBI-323_BLOCKCHAIN_GATEWAY_VALIDATION.md.
PBI-332,Task,Do validate backend blockchain integration,"Validate build/test/proof flow for backend gateway.","Given validation runs, proof API behavior is recorded. | Given evidence is reviewed, representative proof flow is documented.",R05;R22,Quality;Audit;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-323,Evidence target: PBI-323_BLOCKCHAIN_GATEWAY_VALIDATION.md.
PBI-333,Feature,Blockchain proof viewer for anchored audit and procurement events,"Make blockchain proof visible in frontend.","Given anchored event exists, proof status and Fabric reference are visible. | Given verify is clicked, verification result is shown.",R05;R17;R22,Usability;Audit;Security;Accessibility,5,P0,Frontend Engineer,Sprint 6,Planned,PBI-323;PBI-282,"Branch: feature/PBI-333-blockchain-proof-viewer."
PBI-334,Story,"As an auditor, I want to see blockchain proof details for an event, so that I can verify integrity from the UI","Add proof panel story.","Given event proof metadata exists, proof information renders. | Given verification is requested, UI shows accurate result without fake data.",R05;R17;R22,Usability;Audit;Security;Accessibility,3,P0,Frontend Engineer,Sprint 6,Planned,PBI-333,Uses BLOCKCHAIN_PROOF_UI_CONTRACT.md.
PBI-335,Task,Do define proof panel UI contract,"Define visible proof fields and private fields to hide.","Given contract is reviewed, proof UI fields are explicit. | Given UI is implemented, private data is not exposed.",R05;R17;R22,Usability;Audit;Security;Documentation,1,P0,Frontend Engineer,Sprint 6,Planned,PBI-334,Reference BLOCKCHAIN_PROOF_UI_CONTRACT.md.
PBI-336,Task,Do implement BlockchainProofPanel component,"Implement reusable proof panel component.","Given props are supplied, proof panel renders status. | Given state changes, anchored/pending/failed/notAnchored are shown.",R05;R17;R22,Usability;Accessibility;Audit,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-334,Files: src/frontend/components/blockchain.
PBI-337,Task,Do add blockchain proof client,"Add frontend helper for proof API.","Given verify endpoint is called, typed result is returned. | Given API fails, unavailable state is handled.",R05;R17;R22,Integration;Usability;Security,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-334;PBI-330,Files: src/frontend/lib.
PBI-338,Task,Do add proof panel to event detail page,"Integrate proof panel into access/audit event detail.","Given auditor opens event detail, proof panel is visible. | Given no proof exists, notAnchored state is shown without fake tx id.",R05;R17;R22,Usability;Audit;Accessibility,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-334,Touch AccessEventDetailPage.
PBI-339,Task,Do add verify proof button,"Add verify action to proof panel.","Given user clicks verify, frontend calls backend. | Given result returns, verified/mismatch/notFound/unavailable is displayed.",R05;R17;R22,Usability;Audit;Security,2,P0,Frontend Engineer,Sprint 6,Planned,PBI-334;PBI-337,No mutation of original event.
PBI-340,Task,Do validate blockchain proof UI,"Validate proof UI states and frontend build.","Given validation runs, all proof states are evidenced. | Given frontend build runs, it passes.",R05;R17;R22,Quality;Audit;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-334,Evidence target: PBI-333_BLOCKCHAIN_PROOF_UI_VALIDATION.md.
PBI-341,Story,"As a buyer and supplier, I want order acceptance to create an escrow workflow, so that procurement settlement terms are governed and auditable","Define PBI-006 first escrow contract slice.","Given escrow docs are complete, implementation can start safely. | Given escrowCreated is later emitted, state and proof semantics are known.",R06,Security;Audit;Reliability;Compliance,3,P0,Blockchain Engineer,Sprint 6,Planned,PBI-006;PBI-005;PBI-323,Contract story for PBI-006 first slice.
PBI-342,Task,Do define escrow workflow state model,"Define accepted, escrowCreated, releasePending, releaseReady, released, cancelled, disputed.","Given state model is reviewed, allowed states are explicit. | Given transitions are reviewed, unsupported transitions are known.",R06,Security;Audit;Maintainability,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-341,Reference ESCROW_WORKFLOW_CONTRACT.md.
PBI-343,Task,Do define EscrowContract on-chain/off-chain boundary,"Define what escrow data may be on-chain as hashes/status.","Given boundary is reviewed, raw commercial terms are excluded from chain. | Given chaincode starts, termsHash and status boundaries are explicit.",R06,Security;Audit;Maintainability,1,P0,Blockchain Engineer,Sprint 6,Planned,PBI-341,Reference ESCROW_SMART_CONTRACT_BOUNDARY.md.
PBI-344,Task,Do define escrow API contract,"Define create/get escrow API contract.","Given API contract is reviewed, request and response shape are explicit. | Given implementation starts, validation and anchor status semantics are known.",R06,Security;Audit;Integration,1,P0,Backend Engineer,Sprint 6,Planned,PBI-341,Update API_CONTRACTS.md if needed.
PBI-345,Task,Do validate escrow contract docs,"Validate escrow state/API/on-chain boundary docs.","Given docs are reviewed, first slice is implementation-ready. | Given evidence is recorded, contract acceptance is traceable.",R06,Quality;Audit;Documentation,1,P0,QA Lead,Sprint 6,Planned,PBI-341,Evidence target: PBI-006_ESCROW_FIRST_SLICE_VALIDATION.md.
PBI-346,Story,"As a buyer, I want accepted orders to create escrow records, so that settlement control starts from order acceptance","Implement escrow backend first slice.","Given valid authenticated create request, escrowCreated is stored. | Given anchoring is enabled, escrowCreated hash is sent to gateway.",R06,Security;Audit;Reliability;Compliance,5,P0,Backend Engineer,Sprint 6,Planned,PBI-006;PBI-341;PBI-323,Stretch if baseline proof infrastructure is not ready.
PBI-347,Task,Do implement escrow domain model,"Add escrow entity, terms hash, parties, status, audit fields.","Given valid data, escrow model is created. | Given required fields missing, validation rejects it.",R06,Security;Audit;Maintainability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-346,Files: src/modules/escrow/domain.
PBI-348,Task,Do implement escrow repository seam,"Add repository interface and in-memory adapter.","Given escrow is saved, repository persists it. | Given test reads it back, data matches.",R06,Reliability;Maintainability;Testability,2,P0,Backend Engineer,Sprint 6,Planned,PBI-346,Keep adapter replaceable for PostgreSQL.
