PBI-###,Type,Title,Description,AcceptanceCriteria,ReqIDs,NFR_Tags,StoryPoints,Priority,Owner,Sprint,Status,Dependencies,Notes
PBI-108,Task,Do refactor protected route consumers and audit emitters to use trusted actor context,"Action to be performed: update protected route handlers and audit emitters to consume the new request actor context. Why it is needed: the shared actor-boundary enabler is incomplete until downstream consumers stop relying on raw request headers. Expected output: protected backend consumers use trusted actor context consistently. Scope: route refactors, audit emitter wiring, and negative-path safety checks. Explicit exclusions: UI auth flows.","[ReqID: R03;R20;R22] Given the actor-context mechanism exists, when protected routes execute, then authorization and audit code read actor information from the trusted request context. | [ReqID: R03;R20;R22] Given legacy raw-header consumption remains in affected routes, when the task is completed, then those routes are migrated or explicitly isolated for later work.",R03;R20;R22,Security;Audit;Maintainability,2,P0,Backend Engineer,Sprint 2,Draft,PBI-087;PBI-107,Important: route migration task; keep affected-route list explicit from PBI-106.
PBI-109,Task,"Do execute actor-context integration tests, route hardening checks, and docs updates","Action to be performed: validate the trusted actor-context path, update docs where actor handling changes, and collect evidence. Why it is needed: actor-boundary work is cross-cutting and must be proven. Expected output: tests, docs updates, and evidence for protected route consumption. Scope: integration tests, negative authorization checks, docs, and evidence. Explicit exclusions: unrelated auth-provider work.","[ReqID: R03;R20;R22] Given the actor-context refactor is complete, when integration and route tests run, then protected routes and audits behave correctly with trusted actor context. | [ReqID: R03;R20;R22] Given actor handling changed, when the task closes, then durable docs and evidence reflect the new trusted actor path.",R03;R20;R22,Quality;Audit;Maintainability,1,P0,QA Lead,Sprint 2,Draft,PBI-087;PBI-108,Important: required before broader authorization hardening is considered done.
PBI-110,Task,Do inventory current success and denied-action audit behavior across protected routes,"Action to be performed: inspect protected routes to catalog what is currently audited for success, forbidden, invalid, and denied outcomes. Why it is needed: audit-policy standardization must start from real implementation behavior. Expected output: route audit inventory and inconsistency list. Scope: current audit events, denied-action paths, and missing payload fields. Explicit exclusions: route refactor work.","[ReqID: R22;R03;R20] Given current protected routes are reviewed, when the inventory is completed, then audit behavior for success and denied outcomes is explicitly listed. | [ReqID: R22;R03;R20] Given inconsistency exists across modules, when the task closes, then the main policy gaps are documented for decision.",R22;R03;R20,Audit;Architecture;Maintainability,1,P1,Security Engineer,Sprint 2,Draft,PBI-090,Important: first slice of the audit-policy spike. Evidence: audit inventory and inconsistency note.
PBI-111,Task,Do produce approved denied-action audit policy and minimum payload definition,"Action to be performed: define the approved policy for auditing denied protected actions and the minimum payload required. Why it is needed: route hardening and deactivation work need one consistent audit rule. Expected output: approved policy note, minimum payload, and application guidance. Scope: success vs denied behavior, required fields, route application rule, and follow-up mapping. Explicit exclusions: broad implementation refactor in this task.","[ReqID: R22;R03;R20] Given the audit inventory exists, when the policy is approved, then success and denied-action audit behavior is defined consistently. | [ReqID: R22;R03;R20] Given downstream implementation depends on the policy, when the task closes, then the minimum payload and affected route classes are explicitly documented.",R22;R03;R20,Audit;Compliance;Architecture,1,P1,Security Engineer,Sprint 2,Draft,PBI-090;PBI-110,Important: closes the audit-policy spike with an implementation-ready rule set.
PBI-112,Task,Do define common API error-envelope contract for validation and application failures,"Action to be performed: define the standard response structure for schema-validation errors and application-validation errors. Why it is needed: API consistency is currently uneven and will complicate resumed UI/API consumption. Expected output: approved common error-envelope structure and mapping rules. Scope: envelope fields, error categories, route-application rule, and contract note. Explicit exclusions: route implementation changes.","[ReqID: R03;R20] Given API failures are reviewed, when the contract is approved, then schema and application validation failures share a consistent error-envelope structure. | [ReqID: R03;R20] Given later route refactoring depends on the contract, when the task closes, then the mapping rules are explicit enough for implementation.",R03;R20,Maintainability;Integration;Usability,1,P1,Platform Engineer,Sprint 2,Draft,PBI-089,Important: first slice of the error-envelope enabler. Evidence: contract diff and example envelopes.
PBI-113,Task,Do implement shared error-envelope mapping helper for route and application failures,"Action to be performed: add the shared mapping/helper mechanism that produces the approved error envelope across routes. Why it is needed: consistency cannot be achieved safely through route-by-route ad hoc formatting. Expected output: reusable error-envelope mapping/helper. Scope: helper implementation, integration seam, and automated coverage. Explicit exclusions: full retrofit of all routes in this task.","[ReqID: R03;R20] Given the approved error-envelope contract exists, when the helper is implemented, then routes and application failures can emit the same envelope shape through a shared mechanism. | [ReqID: R03;R20] Given the helper is used in tests, when validation fails, then the returned structure matches the approved error contract.",R03;R20,Maintainability;Reliability;Integration,2,P1,Backend Engineer,Sprint 2,Draft,PBI-089;PBI-112,Important: shared implementation slice before route retrofit.
PBI-114,Task,Do retrofit priority backend routes to the common error envelope and update tests/docs,"Action to be performed: apply the common error-envelope helper to the highest-priority backend routes and align tests and docs. Why it is needed: the enabler is not useful until real routes consume it. Expected output: selected routes return consistent validation/application-failure envelopes. Scope: route retrofit, tests, and docs updates for priority flows. Explicit exclusions: full repo-wide retrofit in one task.","[ReqID: R03;R20] Given the shared helper exists, when selected priority routes are refactored, then their validation and application failures return the approved common envelope. | [ReqID: R03;R20] Given route behavior changes, when the task closes, then tests and API docs reflect the new envelope consistently.",R03;R20,Reliability;Maintainability;Usability,2,P1,Backend Engineer,Sprint 2,Draft,PBI-089;PBI-113,"Important: choose priority routes deliberately, starting with membership and shariah submission flows if pulled this sprint."
PBI-115,Task,"Do add repository CI workflow for install, test, and build execution","Action to be performed: create the repository-native CI workflow that runs install, test, and build on change. Why it is needed: local-only validation is not sufficient as a sprint quality gate. Expected output: CI pipeline file and successful baseline execution path. Scope: workflow config, install/test/build steps, and failure visibility. Explicit exclusions: deployment automation.","[ReqID: R25;R26] Given a change is pushed or proposed, when CI runs, then install, test, and build steps execute automatically. | [ReqID: R25;R26] Given one of the quality gates fails, when CI completes, then the failure is surfaced in the pipeline result.",R25;R26,Reliability;Operability;Maintainability,2,P1,DevOps Engineer,Sprint 2,Draft,PBI-092,Important: first slice of the CI enabler. Evidence: workflow file and successful baseline run.
PBI-116,Task,Do verify CI and local execution parity and document contributor expectations,"Action to be performed: verify the CI workflow matches the intended local commands and document contributor expectations. Why it is needed: a pipeline without contributor parity creates false failures and weak adoption. Expected output: parity check, script alignment note, and contributor guidance. Scope: command parity, expected environment notes, and documentation update. Explicit exclusions: new pipeline stages beyond the baseline quality gate.","[ReqID: R25;R26] Given the CI workflow exists, when parity is checked, then the CI commands align with supported local execution for install, test, and build. | [ReqID: R25;R26] Given contributors use the repository, when they read the guidance, then the expected local commands and CI behavior are explicit.",R25;R26,Maintainability;Operability;Documentation,1,P1,DevOps Engineer,Sprint 2,Draft,PBI-092;PBI-115,Important: closes the CI enabler with usable contributor guidance.
PBI-117,Task,Do inventory protected functions and deactivation effects across current backend flows,"Action to be performed: review current backend flows to identify which actions and reads are protected and what deactivation should do to each. Why it is needed: deactivation enforcement and audit behavior cannot be implemented safely without an explicit protected-function inventory. Expected output: protected-function inventory and deactivation-effect note. Scope: protected writes, sensitive reads, deny expectations, and affected modules. Explicit exclusions: enforcement code changes.","[ReqID: R03;R22] Given the current backend flows are reviewed, when the inventory is completed, then the protected actions and relevant reads are explicitly listed. | [ReqID: R03;R22] Given deactivation behavior varies by function, when the task closes, then expected allow/deny effects are documented by function class.",R03;R22,Security;Architecture;Maintainability,1,P1,Security Engineer,Sprint 2,Draft,PBI-095,Important: first slice of the deactivation-policy spike. Evidence: protected-function inventory and effect matrix draft.
PBI-118,Task,Do produce approved protected-function matrix and deactivation carry-over implementation map,"Action to be performed: finalize the protected-function matrix and map which deactivation tasks can proceed after the policy is approved. Why it is needed: backend deactivation enforcement should not repeat the same semantic deadlock seen in assignment validation. Expected output: approved matrix, deactivation-effect rules, and carry-over implementation map. Scope: matrix finalization, implementation map, and audit linkage note. Explicit exclusions: actual enforcement code beyond planning boundaries.","[ReqID: R03;R22] Given the protected-function inventory exists, when the matrix is approved, then the set of protected actions and deactivation behavior is explicitly defined. | [ReqID: R03;R22] Given deactivation implementation depends on the matrix, when the task closes, then the carry-over path into PBI-054, PBI-055, and PBI-057 is clearly mapped.",R03;R22,Security;Audit;Architecture,1,P1,Security Engineer,Sprint 2,Draft,PBI-095;PBI-117,Important: closes the deactivation-policy spike with an implementation-ready matrix.
